States,Rate
Alabama,69
Alaska,34
Arizona,28
Arkansas,75
California,12
Colorado,62
Connecticut,4
Delaware,4
Washington DC,26
Florida,40
Georgia,19
Hawaii,19
Idaho,59
Illinois,71
Indiana,20
Iowa,67
Kansas,78
Kentucky,72
Louisiana,80
Maine,6
Maryland,11
Massachusetts,8
Michigan,69
Minnesota,66
Mississippi,89
Missouri,70
Montana,55
Nebraska,74
Nevada,39
New Hampshire,7
New Jersey,4
New Mexico,64
New York,14
North Carolina,13
North Dakota,80
Ohio,63
Oklahoma,71
Oregon,11
Pennsylvania,8
Rhode Island,5
South Carolina,28
South Dakota,70
Tennessee,79
Texas,33
Utah,69
Vermont,9
Virginia,10
Washington,17
West Virginia,61
Wisconsin,68
Wyoming,64
